one	two
461.563	0.966
466.250502	0.968
470.938003	0.968
475.625505	0.969
480.313007	0.97
485.000509	0.972
489.68801	0.972
494.375512	0.972
499.063014	0.972
503.750516	0.97
508.438017	0.97
513.125519	0.97
517.813021	0.969
522.500523	0.969
527.188024	0.969
531.875526	0.969
536.563028	0.97
541.25053	0.97
545.938031	0.97
550.625533	0.97
555.313035	0.973
560.000537	0.976
564.688038	0.981
569.37554	0.982
574.063042	0.985
578.750544	0.988
583.438045	0.989
588.125547	0.991
592.813049	0.992
597.500551	0.994
602.188052	0.994
606.875554	0.995
611.563056	0.997
616.250557	0.998
620.938059	1
625.625561	1.001
630.313063	1.002
635.000564	1.004
639.688066	1.005
644.375568	1.007
649.06307	1.007
653.750571	1.008
658.438073	1.007
663.125575	1.007
667.813077	1.01
672.500578	1.007
677.18808	0.995
681.875582	1.005
686.563084	1.008
691.250585	1.008
695.938087	1.008
700.625589	1.011
705.313091	1.013
710.000592	1.013
714.688094	1.014
719.375596	1.014
724.063098	1.02
728.750599	1.014
733.438101	1.011
738.125603	1.008
742.813105	1.007
747.500606	1.007
752.188108	1.007
756.87561	1.005
761.563111	1.005
766.250613	1.005
770.938115	1.002
775.625617	1
780.313118	0.995
785.00062	0.992
789.688122	0.989
794.375624	0.988
799.063125	0.986
803.750627	0.984
808.438129	0.984
813.125631	0.985
817.813132	0.985
822.500634	0.986
827.188136	0.986
831.875638	0.985
836.563139	0.982
841.250641	0.981
845.938143	0.975
850.625645	0.957
855.313146	0.928
860.000648	0.882
864.68815	0.837
869.375652	0.8
874.063153	0.797
878.750655	0.813
883.438157	0.744
888.125659	0.797
892.81316	0.739
897.500662	0.77
902.188164	0.789
906.875665	0.819
911.563167	0.883
916.250669	0.924
920.938171	0.953
925.625672	0.97
930.313174	0.981
935.000676	0.985
939.688178	0.988
944.375679	0.992
949.063181	0.994
953.750683	0.994
958.438185	0.991
963.125686	0.988
967.813188	0.984
972.50069	0.976
977.188192	0.963
981.875693	0.952
986.563195	0.928
991.250697	0.898
995.938199	0.86
1000.6257	0.803
1005.313202	0.728
1010.000704	0.667
1014.688206	0.578
1019.375707	0.536
1024.063209	0.511
1028.750711	0.3481
1033.438212	0.375
1038.125714	0.274
1042.813216	0.225
1047.500718	0.194
1052.188219	0.183
1056.875721	0.174
1061.563223	0.206
1066.250725	0.142
1070.938226	0.206
1075.625728	0.188
1080.31323	0.219
1085.000732	0.28
1089.688233	0.34
1094.375735	0.492
1099.063237	0.529
1103.750739	0.565
1108.43824	0.614
1113.125742	0.7059
1117.813244	0.77
1122.500746	0.84
1127.188247	0.875
1131.875749	0.901
1136.563251	0.92
1141.250753	0.928
1145.938254	0.943
1150.625756	0.952
1155.313258	0.957
1160.00076	0.959
1164.688261	0.957
1169.375763	0.954
1174.063265	0.949
1178.750766	0.936
1183.438268	0.925
1188.12577	0.92
1192.813272	0.908
1197.500773	0.895
1202.188275	0.886
1206.875777	0.857
1211.563279	0.832
1216.25078	0.777
1220.938282	0.707
1225.625784	0.67
1230.313286	0.648
1235.000787	0.665
1239.688289	0.707
1244.375791	0.6459
1249.063293	0.62
1253.750794	0.636
1258.438296	0.652
1263.125798	0.7019
1267.8133	0.744
1272.500801	0.799
1277.188303	0.834
1281.875805	0.861
1286.563307	0.876
1291.250808	0.888
1295.93831	0.895
1300.625812	0.899
1305.313314	0.899
1310.000815	0.899
1314.688317	0.898
1319.375819	0.896
1324.06332	0.895
1328.750822	0.892
1333.438324	0.889
1338.125826	0.879
1342.813327	0.867
1347.500829	0.851
1352.188331	0.824
1356.875833	0.779
1361.563334	0.72
1366.250836	0.67
1370.938338	0.584
1375.62584	0.526
1380.313341	0.484
1385.000843	0.486
1389.688345	0.514
1394.375847	0.4501
1399.063348	0.588
1403.75085	0.531
1408.438352	0.504
1413.125854	0.5579
1417.813355	0.639
1422.500857	0.726
1427.188359	0.779
1431.875861	0.805
1436.563362	0.812
1441.250864	0.816
1445.938366	0.819
1450.625868	0.7811
1455.313369	0.787
1460.000871	0.854
1464.688373	0.863
1469.375874	0.87
1474.063376	0.872
1478.750878	0.875
1483.43838	0.89
1488.125881	0.902
1492.813383	0.911
1497.500885	0.925
1502.188387	0.936
1506.875888	0.941
1511.56339	0.954
1516.250892	0.962
1520.938394	0.969
1525.625895	0.975
1530.313397	0.982
1535.000899	0.984
1539.688401	0.986
1544.375902	0.989
1549.063404	0.992
1553.750906	0.992
1558.438408	0.989
1563.125909	0.992
1567.813411	0.992
1572.500913	0.992
1577.188415	0.992
1581.875916	0.991
1586.563418	0.994
1591.25092	0.991
1595.938422	0.989
1600.625923	0.991
1605.313425	0.989
1610.000927	0.988
1614.688428	0.988
1619.37593	0.988
1624.063432	0.986
1628.750934	0.988
1633.438435	0.989
1638.125937	0.988
1642.813439	0.988
1647.500941	0.988
1652.188442	0.985
1656.875944	0.984
1661.563446	0.988
1666.250948	0.989
1670.938449	0.988
1675.625951	0.988
1680.313453	0.985
1685.000955	0.984
